Date_,Year,Month,Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
19960131,1996,1,31,0.0106009,0.0272959,0.0288979,0.0761825,0.0370515,-0.00186727,0.0340387,0.0087,0.0042,0.0509392
19960229,1996,2,29,0.0281993,-0.00619934,0.0122996,-0.00633455,-0.0104102,0.0302809,0.0092674,-0.0051,-0.0356,-0.0366556
19960329,1996,3,29,0.0190009,0.00990236,0.0146028,0.0111686,0.0275365,0.0179731,0.00962993,-0.0015,-0.0109,-0.00345912
19960430,1996,4,30,0.0534002,0.0308984,0.0395975,0.051867,0.0345596,0.0529371,0.0147385,0.0002,-0.0169,0.0451246
19960531,1996,5,31,0.0369992,0.015402,0.0305006,0.00122193,-0.0116978,0.0389629,0.0257897,0.0018,-0.006,-0.013587
19960628,1996,6,28,-0.00730012,0.00379662,0.0018001,0.0094232,0.00996927,-0.0420893,0.00382185,0.0075,0.0151,-0.003367
19960731,1996,7,31,-0.0286996,-0.0186994,-0.020799,-0.062384,-0.0487693,-0.0883388,-0.0441853,0.0036,0.0001,-0.00952088
19960830,1996,8,30,0.0263006,0.0153025,0.0228,0.0261938,0.00854771,0.0565823,0.0210923,0.0035,-0.0046,-0.0142636
19960930,1996,9,30,0.0217997,0.0124973,0.0206983,0.0137501,0.0464833,0.0374686,0.0562945,0.0089,0.0224,0.00912237
19961031,1996,10,31,0.0155992,0.0159003,0.00979973,-0.0143857,-0.0118613,-0.0168019,0.027576,0.0118,0.0286,0.0405237
19961129,1996,11,29,0.0166023,0.0234023,0.0208,0.0167731,0.0402596,0.0397569,0.0755824,0.0076,0.0279,0.00419413
19961231,1996,12,31,0.00829919,0.00679997,0.0133019,0.0103131,-0.00661726,0.0240038,-0.0198072,0.0001,-0.0211,0
19970131,1997,1,31,0.0277995,0.0354993,0.0317002,0.0686185,0.0147206,0.0188632,0.0624705,0.0047,-0.001,0.0450477
19970228,1997,2,28,-0.00239961,0.016801,0.0103,0.0461948,0.0242191,-0.0254432,0.00783772,0.002,-0.0007,0.0199829
19970331,1997,3,31,-0.00729992,-0.0082029,-0.0164018,-0.0248608,0.00480533,-0.0485766,-0.0410893,-0.0008,-0.021,-0.00895606
19970430,1997,4,30,-0.00270034,0.00369996,-0.00109906,0.00989974,0.0298768,0.00128445,0.0597,0.0083,0.0204,0.0093194
19970530,1997,5,30,0.0503985,0.0182035,0.0438011,0.030397,0.0293682,0.1100875,0.0608852,0.0068,0.011,-0.0221041
19970630,1997,6,30,0.0197013,0.0249989,0.0269993,0.060184,0.0541856,0.040997,0.0448044,0.0071,0.0166,0.00658083
19970731,1997,7,31,0.0504999,0.0464015,0.0386999,0.0432583,0.0519669,0.0456896,0.0795682,0.0119,0.0411,0.0372371
19970829,1997,8,29,0.0134995,-0.00320019,0.00340047,-0.1075483,-0.0728117,0.0215933,-0.056023,0.0006,-0.0205,-0.00739929
19970930,1997,9,30,0.0568997,0.0277978,0.0371986,0.0434521,0.0512531,0.071771,0.0547614,0.0073,0.0217,-0.00690226
19971031,1997,10,31,0.00390134,-0.0143986,-0.0153007,-0.1371636,-0.0941776,-0.0453043,-0.0333925,0.008,0.0262,0.000834028
19971128,1997,11,28,-0.00930085,-0.00510112,-0.00929994,-0.0166394,0.0175901,-0.007709,0.0462881,0.0014,0.0026,0.0236111
19971231,1997,12,31,0.0142002,0.0104996,0.00880022,0.0572189,0.0318917,0.0165147,0.0171745,0.0069,0.0127,0.0127544
19980130,1998,1,30,-0.00160079,-0.00960055,-0.00709867,-0.0522391,0.0476543,-0.0159489,0.0110639,0.0101,0.0205,-0.00133976
19980227,1998,2,27,0.0409004,0.0190014,0.0327001,0.0823786,0.0570237,0.0738984,0.0721221,0.0004,-0.0074,-0.0217333
19980331,1998,3,31,0.0453992,0.0401011,0.029999,0.0468295,0.0511926,0.0408159,0.051211,0.0041,0.001,0.0307186
19980430,1998,4,30,0.0139018,0.00909708,0.00960029,-0.00821329,-0.00691519,0.00459765,0.0100608,0.0045,0.0043,-0.0122406
19980529,1998,5,29,-0.0127002,-0.0092995,-0.0207993,-0.1190271,0.00940527,-0.0544016,-0.0171919,0.005,0.0109,0.0290948
19980630,1998,6,30,0.00499914,-0.00550043,-0.00130043,-0.0753572,0.0113707,0.0016863,0.040621,0.0052,0.0128,0.013089
19980731,1998,7,31,-0.00669908,-0.00209827,-0.0078997,0.0306937,0.0158209,-0.082293,-0.0106484,0.0045,0.0004,-0.000516796
19980831,1998,8,31,-0.0765002,-0.0747018,-0.0869993,-0.2656009,-0.1347818,-0.1948779,-0.1445798,0.0144,0.0394,0.00336091
19980930,1998,9,30,0.0315998,-0.0255001,0.00689973,0.0613447,-0.0659535,0.0758692,0.0640621,0.0139,0.0507,0.00798763
19981030,1998,10,30,0.0247004,-0.0195982,0.0121977,0.0812902,0.0634772,0.0400726,0.0813414,0.005,-0.0102,0.0309305
19981130,1998,11,30,0.0383988,0.0143988,0.0371022,0.0814871,0.0793244,0.0518035,0.0606134,-0.0028,-0.017,-0.0116539
19981231,1998,12,31,0.0539007,0.0160002,0.0278997,-0.0141181,0.0125154,0.0608674,0.0576243,0.0032,-0.017,-0.010286
19990129,1999,1,29,0.0497998,0.0141026,0.0223998,0.0488611,0.0215245,0.0124656,0.0418141,0.0024,-0.017,0.00253485
19990226,1999,2,26,-0.0240993,-0.00220319,-0.0132007,0.0217736,0.00332603,-0.0818314,-0.0310776,-0.0059,-0.0426,0.0232617
19990331,1999,3,31,0.040499,0.0208024,0.0313993,0.1112613,0.0473595,0.0136899,0.0400055,0.007,0.0069,0.00963677
19990430,1999,4,30,0.0525006,0.0325996,0.0450011,0.1115501,0.0521933,0.0884742,0.038729,0.0022,-0.0043,0.0188448
19990531,1999,5,31,0.0121992,0.00840086,0.00719902,0.00727162,-0.0389892,0.0135625,-0.0236175,-0.0017,-0.0208,-0.00720634
19990630,1999,6,30,0.0380014,0.0283984,0.0363004,0.1030822,0.0464004,0.043289,0.0554974,0.0029,-0.0089,-0.00992015
19990730,1999,7,30,0.00609855,0.00729914,0.00519939,-0.0190125,-0.00671798,-0.0281862,-0.0312237,0.0026,-0.0028,-0.0127077
19990831,1999,8,31,0.000400443,0.00110171,-9.89745E-05,0.0155633,0.000693482,-0.0380871,-0.0049445,0.0027,-0.0051,0.0108911
19990930,1999,9,30,0.00349994,-0.00120117,0.00159881,-0.0237465,-0.00741887,-0.00123881,-0.0274156,0.0066,0.0111,-0.00122429
19991029,1999,10,29,0.023301,0.0127005,0.0160013,0.0223006,0.0389946,0.00313597,0.0632818,0.0014,-0.0038,-0.0142192
19991130,1999,11,30,0.0675993,0.0491008,0.0505994,0.0889367,0.0549994,0.0593505,0.0203267,0.0011,-0.0064,0.017906
19991231,1999,12,31,0.1087997,0.0684996,0.0764995,0.1143886,0.0894167,0.1115883,0.0588956,0.0009,-0.0139,-0.00610799
20000131,2000,1,31,0.00250002,0.0154009,0.00639995,0.00826338,-0.0400558,-0.0168796,-0.0502424,-0.001,-0.0102,0.00245821
20000229,2000,2,29,0.1000006,0.0520996,0.0616009,0.0132042,0.0479224,0.1641779,-0.0189287,0.006,0.0142,-0.00122609
20000331,2000,3,31,0.0173001,0.00229857,0.00929949,0.00224074,0.0198718,-0.066834,0.0978285,0.0057,0.0345,-0.00957525
20000428,2000,4,28,-0.0419001,-0.033699,-0.0284997,-0.0778609,-0.01278,-0.0609175,-0.0300857,0.0013,-0.01,0.00198314
20000531,2000,5,31,-0.0244002,-0.0157992,-0.0196,-0.029282,-0.0227724,-0.0593778,-0.0205181,0.0048,0.0008,0.000989609
20000630,2000,6,30,0.0484994,0.0281999,0.0367998,0.0313333,0.0139736,0.0861841,0.0246538,0.0105,0.0238,-0.00914483
20000731,2000,7,31,-0.0157993,-0.00220195,-0.00599959,-0.0485215,-0.0139258,-0.0320747,-0.0156347,0.0057,0.0045,-0.00473934
20000831,2000,8,31,0.0535002,0.020002,0.0380996,0.00848174,0.0275526,0.0744048,0.0621139,0.0067,0.0157,0.0047619
20000929,2000,9,29,-0.0108005,-0.0116021,-0.0123994,-0.0762534,-0.043442,-0.0307126,-0.0527934,0.0075,-0.0005,0.00124719
20001031,2000,10,31,-0.0201006,-0.0100987,-0.0179013,-0.0513281,0.0024866,-0.0454188,-0.0042291,0.0056,0.0079,0.0156951
20001130,2000,11,30,-0.0429999,-0.0153996,-0.0348991,-0.0778789,-0.0413811,-0.1039804,-0.0788352,0.0099,0.0273,-0.000245278
20001229,2000,12,29,0.0316004,0.0138002,0.0207009,0.0192695,-0.00627678,0.0842939,0.00488947,0.012,0.0289,0.0424436
20010131,2001,1,31,0.0288006,0.0192991,0.0338997,0.1383522,0.0138446,0.0513102,0.0354803,0.0131,0.0016,0.00611909
20010228,2001,2,28,-0.0256005,-0.00740031,-0.0221,-0.0677749,-0.0628479,-0.0668254,-0.0911829,0.0059,0.0131,-0.000701754
20010330,2001,3,30,-0.023,-0.00439943,-0.0159006,-0.0777106,-0.0286483,-0.0502561,-0.0633462,0.0068,0.0032,0.0404963
20010430,2001,4,30,0.0227002,0.00689847,0.0195011,0.0474119,0.0629874,0.0772202,0.0777073,0.0019,-0.0263,-0.0103487
20010531,2001,5,31,0.00899953,0.00900054,0.0118982,0.0229751,-0.0219723,0.0230363,0.00670337,0.0057,-0.0007,0.008411
20010629,2001,6,29,-0.00320024,-0.000597942,0.00290097,-0.0169962,-0.0261801,0.0330514,-0.0243414,0.0024,0.0047,-0.00541028
20010731,2001,7,31,-0.0105997,-0.00430028,-0.00830059,-0.0525778,-0.0362774,-0.0548439,-0.00984647,0.0122,0.0315,-0.0210789
20010831,2001,8,31,-0.0122001,0.00179976,-0.00409955,-0.00660888,-0.0577152,-0.0334585,-0.0626002,0.0065,0.0138,0.00787219
20010928,2001,9,28,-0.0373003,-0.0157996,-0.0283,-0.1335751,-0.1040591,-0.1359271,-0.0807514,0.0178,0.0236,-0.00643235
20011031,2001,10,31,0.0185007,0.00929971,0.0201,0.0646179,0.0393343,0.0575493,0.0190676,0.0103,0.0276,-0.00901734
20011130,2001,11,30,0.0196998,0.00359968,0.0207006,0.1012325,0.0451249,0.0761613,0.0767084,-0.0039,-0.0322,-0.0118992
20011231,2001,12,31,0.0199004,0.0106996,0.0171003,0.0948936,0.0167624,0.0601589,0.00876056,0.0001,-0.0178,0.0304604
20020131,2002,1,31,0.00224676,0.00453903,0.00447344,0.0404737,-0.02681,-0.0110542,-0.0145956,0.002,0.0051,-0.00137489
20020228,2002,2,28,-0.00891493,-0.0025698,-0.00704292,0.018704,0.00351503,-0.0284413,-0.019281,0.0054,0.0114,-0.0190454
20020329,2002,3,29,0.0202718,0.00782638,0.0191112,0.0564037,0.0447585,0.0790438,0.0376073,-0.0087,-0.0369,-0.0226901
20020430,2002,4,30,0.00165682,0.0063967,0.00278663,-0.00246966,-0.0207947,0.0083126,-0.0606309,0.0132,0.0298,-0.000478698
20020531,2002,5,31,1.81767E-05,0.00440446,0.00041583,-0.0289092,-0.0140713,-0.0454305,-0.00736393,0.004,0.0078,0.0464559
20020628,2002,6,28,-0.0263119,-0.00875907,-0.0193923,-0.0642952,-0.0794339,-0.050916,-0.0712328,0.0097,0.0207,0.0643021
20020731,2002,7,31,-0.0392963,-0.0133933,-0.0286058,-0.0648275,-0.1008436,-0.1517994,-0.077955,0.0152,0.0316,-0.00709525
20020830,2002,8,30,0.00283695,0.00331135,0.00529941,0.0127584,-0.00161529,-0.0037205,0.00657235,0.0041,0.03,-0.0132092
20020930,2002,9,30,-0.0196133,-0.00445772,-0.0154449,-0.0816178,-0.1087818,-0.0733835,-0.108686,0.0098,0.0468,-0.0030722
20021031,2002,10,31,0.00555712,-0.00201208,0.00590481,0.0483114,0.0550152,0.030999,0.0880193,0.0023,-0.0207,-0.00748404
20021129,2002,11,29,0.0267002,0.00838093,0.0211818,0.0529844,0.0449305,0.0879786,0.0588584,-0.0051,-0.0208,-0.00487913
20021231,2002,12,31,-0.0113509,0.00679106,-0.00209941,-0.0468657,-0.0724769,-0.0572645,-0.0587436,0.0111,0.0355,0.0338756
20030131,2003,1,31,-6.94799E-05,0.00841953,0.00652048,-0.00579163,-0.0547906,-0.0285051,-0.0261977,-0.0002,-0.0084,0.018754
20030228,2003,2,28,-0.00781988,0.00341049,0.000209363,-0.027811,-0.0184469,-0.0313029,-0.0150064,0.0056,0.0264,-0.00211595
20030331,2003,3,31,-0.000649808,-0.000310772,0.00142063,-0.0289289,-0.0229162,0.0111506,0.00971307,0.0022,-0.0069,0.000424088
20030430,2003,4,30,0.0243193,0.0121491,0.0263591,0.0495115,0.0859077,0.0936523,0.0823686,0.0021,0.0001,0.018652
20030530,2003,5,30,0.0407905,0.0208106,0.0357597,0.0820589,0.0287172,0.1061503,0.0526825,0.0052,0.0459,0.0380774
20030630,2003,6,30,0.0151897,0.00667077,0.0134606,0.0431879,0.0348317,0.016712,0.0127612,0.0019,-0.0118,-0.00741632
20030731,2003,7,31,0.0241398,0.00225912,0.0130401,0.0627896,0.0428351,0.0616678,0.0176306,-0.0071,-0.0707,-0.0272617
20030829,2003,8,29,0.0238102,0.00834177,0.0183006,0.0671364,0.0322786,0.0449561,0.0195004,-0.0001,0.0109,-0.00747353
20030930,2003,9,30,0.00783045,0.0117684,0.0116296,-0.0106593,-0.0205117,-0.019581,-0.0106203,0.0114,0.0457,0.0167329
20031031,2003,10,31,0.0311699,0.0153419,0.0244792,0.0894389,0.0519538,0.0831283,0.0565743,-0.0046,-0.0247,0.0144003
