Date,Mkt,Rf,Mkt-Rf,S,B,SMB,H,L,HML,U,D,UMD,
1927,0.3342,0.0313,0.3029,0.3057,0.334533333,-0.028833333,0.3327,0.388,-0.0553,0.3827,0.1539,0.2288,
1928,0.3905,0.0354,0.3551,0.384866667,0.345166667,0.0397,0.32295,0.41455,-0.0916,0.5031,0.22805,0.27505,
1929,-0.1502,0.0474,-0.1976,-0.369266667,-0.082433333,-0.286833333,-0.1985,-0.3265,0.128,-0.21115,-0.4241,0.21295,
1930,-0.2881,0.0243,-0.3124,-0.3782,-0.329733333,-0.048466667,-0.4477,-0.31145,-0.13625,-0.2322,-0.49605,0.26385,
1931,-0.4435,0.0109,-0.4544,-0.473233333,-0.517766667,0.044533333,-0.55055,-0.3983,-0.15225,-0.35325,-0.59615,0.2429,
1932,-0.0848,0.0095,-0.0943,-0.0472,-0.089333333,0.042133333,-0.00955,-0.0659,0.05635,-0.1408,0.0547,-0.1955,
1933,0.575,0.003,0.572,1.345766667,0.838633333,0.507133333,1.178,1.0203,0.1577,1.09225,0.8996,0.19265,
1934,0.0427,0.0018,0.0409,0.208833333,-0.045666667,0.2545,-0.065,0.23475,-0.29975,0.21115,0.0292,0.18195,
1935,0.4484,0.0014,0.447,0.593966667,0.468366667,0.1256,0.5215,0.4528,0.0687,0.6888,0.4782,0.2106,
1936,0.3215,0.0018,0.3197,0.5307,0.3761,0.1546,0.60655,0.3178,0.28875,0.459,0.39445,0.06455,
1937,-0.3461,0.0029,-0.349,-0.496166667,-0.357,-0.139166667,-0.4627,-0.4138,-0.0489,-0.44225,-0.4139,-0.02835,
1938,0.2816,-0.0004,0.282,0.378033333,0.261466667,0.116566667,0.25705,0.38505,-0.128,0.3153,0.31105,0.00425,
1939,0.0212,0.0001,0.0211,0.026233333,-0.026666667,0.0529,-0.0803,0.09225,-0.17255,0.0315,0.02425,0.00725,
1940,-0.0745,-0.0002,-0.0743,-0.036933333,-0.0507,0.013766667,-0.06225,-0.0462,-0.01605,-0.0367,-0.0941,0.0574,
1941,-0.0963,0.0004,-0.0967,-0.1104,-0.0609,-0.0495,-0.0285,-0.15005,0.12155,-0.0436,-0.13305,0.08945,
1942,0.163,0.0028,0.1602,0.269866667,0.214533333,0.055333333,0.34355,0.14965,0.1939,0.1696,0.3198,-0.1502,
1943,0.2806,0.0036,0.277,0.639966667,0.333533333,0.306433333,0.6792,0.3356,0.3436,0.55625,0.4189,0.13735,
1944,0.2135,0.0033,0.2102,0.436866667,0.267866667,0.169,0.45845,0.2867,0.17175,0.4121,0.31005,0.10205,
1945,0.3845,0.0032,0.3813,0.662066667,0.3996,0.262466667,0.61835,0.48115,0.1372,0.64295,0.50005,0.1429,
1946,-0.059,0.0036,-0.0626,-0.100066667,-0.059966667,-0.0401,-0.07825,-0.10345,0.0252,-0.0759,-0.12635,0.05045,
1947,0.0338,0.005,0.0288,-0.018433333,0.0567,-0.075133333,0.07,-0.0214,0.0914,0.06925,-0.07395,0.1432,
1948,0.0233,0.0081,0.0152,-0.0563,0.033433333,-0.089733333,0.01395,-0.01905,0.033,0.04155,-0.08185,0.1234,
1949,0.2011,0.0112,0.1899,0.225366667,0.193733333,0.031633333,0.19875,0.23415,-0.0354,0.23325,0.22875,0.0045,
1950,0.3003,0.0122,0.2881,0.384766667,0.3647,0.020066667,0.5369,0.2706,0.2663,0.4363,0.28065,0.15565,
1951,0.2083,0.0149,0.1934,0.147566667,0.1973,-0.049733333,0.13315,0.18155,-0.0484,0.24035,0.12555,0.1148,
1952,0.1329,0.0165,0.1164,0.088666667,0.1542,-0.065533333,0.14065,0.10965,0.031,0.1503,0.0601,0.0902,
1953,0.0036,0.0183,-0.0147,-0.028566667,-0.015033333,-0.013533333,-0.0698,0.00805,-0.07785,0.05485,-0.10845,0.1633,
1954,0.5017,0.0086,0.4931,0.558,0.577466667,-0.019466667,0.70375,0.45495,0.2488,0.5949,0.48975,0.10515,
1955,0.253,0.0157,0.2373,0.194566667,0.2571,-0.062533333,0.26625,0.21225,0.054,0.2931,0.15355,0.13955,
1956,0.0848,0.0247,0.0601,0.069466667,0.0762,-0.006733333,0.04675,0.07085,-0.0241,0.1684,-0.02455,0.19295,
1957,-0.1038,0.0315,-0.1353,-0.158033333,-0.133633333,-0.0244,-0.1931,-0.13065,-0.06245,-0.11285,-0.2112,0.09835,
1958,0.4483,0.0153,0.433,0.673566667,0.530866667,0.1427,0.70985,0.5842,0.12565,0.52525,0.6241,-0.09885,
1959,0.126,0.0298,0.0962,0.1952,0.138766667,0.056433333,0.1812,0.17285,0.00835,0.2439,0.0521,0.1918,
1960,0.0115,0.0267,-0.0152,-0.031933333,-0.007833333,-0.0241,-0.0729,-0.0207,-0.0522,0.074,-0.1008,0.1748,
1961,0.2694,0.0212,0.2482,0.277733333,0.2735,0.004233333,0.2987,0.24315,0.05555,0.33185,0.22775,0.1041,
1962,-0.1032,0.0273,-0.1305,-0.157233333,-0.0648,-0.092433333,-0.0628,-0.1661,0.1033,-0.09315,-0.2126,0.11945,
1963,0.2088,0.0311,0.1777,0.1768,0.237666667,-0.060866667,0.30345,0.1493,0.15415,0.25145,0.13515,0.1163,
1964,0.1631,0.0353,0.1278,0.1619,0.179733333,-0.017833333,0.2103,0.11305,0.09725,0.19165,0.14385,0.0478,
1965,0.1439,0.0392,0.1047,0.3811,0.152866667,0.228233333,0.3246,0.26675,0.05785,0.3879,0.18255,0.20535,
1966,-0.0869,0.0475,-0.1344,-0.0625,-0.0903,0.0278,-0.08985,-0.08045,-0.0094,-0.01835,-0.123,0.10465,
1967,0.2857,0.0421,0.2436,0.762266667,0.2561,0.506166667,0.49645,0.58795,-0.0915,0.6818,0.4575,0.2243,
1968,0.1417,0.0522,0.0895,0.398833333,0.156566667,0.242266667,0.36445,0.1838,0.18065,0.27975,0.2578,0.02195,
1969,-0.1084,0.0657,-0.1741,-0.240766667,-0.100866667,-0.1399,-0.21115,-0.104,-0.10715,-0.1375,-0.2357,0.0982,
1970,0.0008,0.0652,-0.0644,-0.0711,0.043666667,-0.114766667,0.08625,-0.1295,0.21575,-0.0814,-0.04925,-0.03215,
1971,0.162,0.0439,0.1181,0.204766667,0.142133333,0.062633333,0.1351,0.249,-0.1139,0.2191,0.18325,0.03585,
1972,0.1734,0.0384,0.135,0.0481,0.1705,-0.1224,0.1295,0.10855,0.02095,0.1692,0.01495,0.15425,
1973,-0.1875,0.0693,-0.2568,-0.353066667,-0.113733333,-0.239333333,-0.1545,-0.3343,0.1798,-0.16535,-0.45825,0.2929,
1974,-0.2794,0.0801,-0.3595,-0.258033333,-0.251966667,-0.006066667,-0.2121,-0.3057,0.0936,-0.2314,-0.3153,0.0839,
1975,0.3736,0.058,0.3156,0.591266667,0.440866667,0.1504,0.5651,0.4788,0.0863,0.40085,0.5869,-0.18605,
1976,0.2676,0.0508,0.2168,0.481866667,0.3439,0.137966667,0.51875,0.2787,0.24005,0.37835,0.3034,0.07495,
1977,-0.0297,0.0513,-0.081,0.203766667,-0.0286,0.232366667,0.1273,0.04945,0.07785,0.15345,-0.02595,0.1794,
1978,0.0855,0.0719,0.0136,0.199,0.057366667,0.141633333,0.128,0.12325,0.00475,0.2201,0.10015,0.11995,
1979,0.2441,0.1038,0.1403,0.412866667,0.208833333,0.204033333,0.305,0.32715,-0.02215,0.48625,0.21715,0.2691,
1980,0.3324,0.1126,0.2198,0.353133333,0.2973,0.055833333,0.19365,0.4393,-0.24565,0.57465,0.2046,0.37005,
1981,-0.0398,0.1472,-0.187,0.0665,-0.0065,0.073,0.1524,-0.0933,0.2457,-0.05345,0.0297,-0.08315,
1982,0.2042,0.1053,0.0989,0.309766667,0.221866667,0.0879,0.33765,0.206,0.13165,0.39855,0.05185,0.3467,
1983,0.2265,0.088,0.1385,0.3613,0.221866667,0.139433333,0.3725,0.18395,0.18855,0.21885,0.3168,-0.09795,
1984,0.0316,0.0984,-0.0668,-0.015733333,0.0704,-0.086133333,0.11845,-0.0678,0.18625,0.0225,-0.06765,0.09015,
1985,0.3141,0.0772,0.2369,0.312133333,0.321333333,-0.0092,0.31935,0.30775,0.0116,0.37355,0.2262,0.14735,
1986,0.1556,0.0616,0.094,0.089533333,0.1895,-0.099966667,0.1816,0.08165,0.09995,0.1714,0.08775,0.08365,
1987,0.0183,0.0547,-0.0364,-0.077466667,0.0264,-0.103866667,-0.0494,-0.02405,-0.02535,-0.006,0.03365,-0.03965,
1988,0.1756,0.0636,0.112,0.2539,0.186733333,0.067166667,0.2836,0.1458,0.1378,0.19375,0.25245,-0.0587,
1989,0.2844,0.0838,0.2006,0.181366667,0.301466667,-0.1201,0.227,0.28345,-0.05645,0.3479,0.06845,0.27945,
1990,-0.0608,0.0784,-0.1392,-0.201733333,-0.0577,-0.144033333,-0.1894,-0.0834,-0.106,-0.07625,-0.2508,0.17455,
1991,0.3365,0.056,0.2805,0.474433333,0.3094,0.165033333,0.33955,0.4903,-0.15075,0.53545,0.3916,0.14385,
1992,0.0906,0.035,0.0556,0.209933333,0.1321,0.077833333,0.29165,0.06115,0.2305,0.14425,0.1127,0.03155,
1993,0.1159,0.029,0.0869,0.201533333,0.126733333,0.0748,0.2446,0.0751,0.1695,0.27045,0.0336,0.23685,
1994,-0.0076,0.0391,-0.0467,-0.008533333,-0.012466667,0.003933333,-0.01285,-0.01205,-0.0008,-0.00305,-0.0357,0.03265,
1995,0.3567,0.056,0.3007,0.302566667,0.371933333,-0.069366667,0.32685,0.36145,-0.0346,0.40995,0.2334,0.17655,
1996,0.2116,0.052,0.1596,0.184366667,0.203,-0.018633333,0.1703,0.16805,0.00225,0.2182,0.15695,0.06125,
1997,0.3033,0.0525,0.2508,0.281966667,0.319233333,-0.037266667,0.34585,0.2345,0.11135,0.3243,0.2069,0.1174,
1998,0.2228,0.0485,0.1743,-0.0326,0.200333333,-0.232933333,0.038,0.1884,-0.1504,0.22565,-0.00945,0.2351,
1999,0.2524,0.0469,0.2055,0.239033333,0.1224,0.116633333,0.02685,0.4209,-0.39405,0.4554,0.1096,0.3458,
2000,-0.1107,0.0588,-0.1695,-0.0676,-0.0107,-0.0569,0.025,-0.1889,0.2139,-0.02975,-0.1808,0.15105,
2001,-0.1126,0.0386,-0.1512,0.222,-0.062066667,0.284066667,0.1953,-0.07715,0.27245,0.05195,0.00725,0.0447,
2002,-0.2085,0.0163,-0.2248,-0.1895,-0.233066667,0.043566667,-0.2247,-0.26185,0.03715,-0.10125,-0.35715,0.2559,
2003,0.3314,0.0102,0.3212,0.598166667,0.317366667,0.2808,0.5488,0.39745,0.15135,0.41325,0.65675,-0.2435,
2004,0.13,0.0119,0.1181,0.205366667,0.142166667,0.0632,0.2275,0.09535,0.13215,0.14085,0.1454,-0.00455,
2005,0.0732,0.0298,0.0434,0.053266667,0.080266667,-0.027,0.0785,0.04135,0.03715,0.14675,-0.0076,0.15435,
2006,0.162,0.0481,0.1139,0.179433333,0.169066667,0.010366667,0.22185,0.10275,0.1191,0.1174,0.1945,-0.0771,
2007,0.0732,0.0467,0.0265,-0.0345,0.035566667,-0.070066667,-0.1083,0.1072,-0.2155,0.12015,-0.0943,0.21445,
2008,-0.383,0.0164,-0.3994,-0.3935,-0.395133333,0.001633333,-0.4671,-0.37635,-0.09075,-0.3677,-0.5019,0.1342,
2009,0.3162,0.0005,0.3157,0.480566667,0.3032,0.177366667,0.54845,0.3118,0.23665,0.13695,0.96965,-0.8327,
